,hider,player,feedback
0,1,1,True
1,0,0,True
2,1,0,False
3,1,1,True
4,0,0,True
5,1,1,True
6,0,0,True
7,1,0,False
8,1,0,False
9,1,1,True
10,1,1,True
11,1,0,False
12,1,0,False
13,1,1,True
14,1,0,False
15,1,1,True
16,1,1,True
17,1,1,True
18,0,0,True
19,0,0,True
20,0,0,True
21,1,0,False
22,1,0,False
23,1,0,False
24,1,1,True
25,1,0,False
26,1,0,False
27,1,0,False
28,1,0,False
29,1,0,False
30,1,0,False
31,1,0,False
32,1,1,True
33,1,0,False
34,1,1,True
35,1,0,False
36,1,0,False
37,1,0,False
38,1,0,False
39,1,1,True
40,1,0,False
41,1,1,True
42,1,1,True
43,1,0,False
44,1,0,False
45,1,0,False
46,1,1,True
47,1,1,True
48,1,0,False
49,1,0,False
50,1,0,False
51,1,0,False
52,1,1,True
53,1,0,False
54,1,0,False
55,1,1,True
56,1,1,True
57,1,0,False
58,1,1,True
59,1,0,False
60,1,1,True
61,1,0,False
62,1,0,False
63,1,1,True
64,1,0,False
65,1,1,True
66,1,0,False
67,1,0,False
68,1,1,True
69,1,0,False
70,1,1,True
71,1,0,False
72,1,0,False
73,1,0,False
74,1,0,False
75,1,1,True
76,1,1,True
77,1,1,True
78,0,0,True
79,1,0,False
80,1,0,False
81,1,1,True
82,1,1,True
83,0,0,True
84,1,0,False
85,0,0,True
86,1,0,False
87,1,0,False
88,1,0,False
89,1,0,False
90,1,1,True
91,1,1,True
92,1,0,False
93,1,0,False
94,1,0,False
95,1,0,False
96,1,0,False
97,1,0,False
98,1,0,False
99,1,1,True
100,1,0,False
101,1,0,False
102,1,0,False
103,1,1,True
104,1,0,False
105,1,0,False
106,1,0,False
107,1,0,False
108,1,0,False
109,1,0,False
110,1,0,False
111,1,1,True
112,1,0,False
113,1,0,False
114,1,0,False
115,1,0,False
116,1,0,False
117,1,0,False
118,1,0,False
119,1,0,False
