,hider,player,feedback
0,0,0,True
1,1,0,False
2,1,0,False
3,1,1,True
4,1,0,False
5,1,0,False
6,1,0,False
7,1,1,True
8,1,1,True
9,0,0,True
10,0,1,False
11,1,0,False
12,1,1,True
13,0,1,False
14,0,0,True
15,1,0,False
16,1,0,False
17,1,0,False
18,1,0,False
19,1,1,True
20,1,1,True
21,0,0,True
22,0,1,False
23,0,0,True
24,1,1,True
25,1,0,False
26,0,0,True
27,1,0,False
28,1,0,False
29,1,0,False
30,1,1,True
31,1,0,False
32,0,1,False
33,1,0,False
34,0,1,False
35,0,0,True
36,0,0,True
37,1,1,True
38,1,0,False
39,1,0,False
40,1,0,False
41,1,0,False
42,1,1,True
43,0,0,True
44,1,0,False
45,1,0,False
46,1,0,False
47,1,1,True
48,1,0,False
49,1,1,True
50,1,0,False
51,0,1,False
52,0,1,False
53,0,0,True
54,1,0,False
55,1,0,False
56,1,0,False
57,1,1,True
58,1,0,False
59,0,1,False
60,0,1,False
61,0,1,False
62,0,1,False
63,0,1,False
64,0,0,True
65,1,0,False
66,1,1,True
67,1,0,False
68,0,0,True
69,1,0,False
70,1,1,True
71,0,1,False
72,0,0,True
73,1,0,False
74,1,0,False
75,1,0,False
76,1,0,False
77,1,1,True
78,1,1,True
79,0,0,True
80,0,0,True
81,1,1,True
82,1,0,False
83,0,0,True
84,1,1,True
85,1,0,False
86,0,1,False
87,1,0,False
88,1,0,False
89,1,0,False
90,1,0,False
91,1,0,False
92,1,0,False
93,1,0,False
94,1,0,False
95,1,0,False
96,1,1,True
97,1,0,False
98,1,0,False
99,1,1,True
100,0,0,True
101,1,1,True
102,1,0,False
103,1,0,False
104,1,1,True
105,1,0,False
106,1,0,False
107,1,0,False
108,1,1,True
109,1,0,False
110,1,0,False
111,1,0,False
112,1,0,False
113,1,1,True
114,1,0,False
115,0,0,True
116,1,0,False
117,1,0,False
118,1,0,False
119,1,0,False
